,importance,var
489,0.0013707553,v_/devices#IntGW-02/metrics/disk-write-requests
922,0.0013660461,v_/ports#link-tr-intgw-b-3-x/metrics/network-outgoing-packets-rate
406,0.0013631155,n_/devices/modules/Cisco-IOS-XE-memory-oper/memory-statistics/memory-statistic/used-memory
960,0.0013475177,v_/ports#link-tr-ssm-b-1-y/metrics/network-incoming-bytes-rate
672,0.0013400073,v_/ports#TR-01/metrics/network-incoming-bytes-rate
678,0.0013392475,v_/ports#TR-01/metrics/network-outgoing-bytes-rate
131,0.001328624,p_/computes0/metrics/hardware-ipmi-temperature#37-fuse_(0x27)/hardware-ipmi-temperature
733,0.0013272902,v_/ports#link-intgw-exgw-b-1-x/metrics/network-incoming-packets
436,0.0013220246,v_/devices#IntGW-01/metrics/cpu_util
978,0.0013165419,v_/ports#link-tr-tr-a-1-x/metrics/network-outgoing-bytes-rate
751,0.0013156886,v_/ports#link-intgw-exgw-b-2-x/metrics/network-outgoing-packets
111,0.0013152163,p_/computes0/metrics/hardware-ipmi-temperature#03-cpu_2_(0x5)/hardware-ipmi-temperature
29,0.0013069515,p_/computes0/metrics/hardware/hardware-cpu-load-1min
646,0.001305738,v_/ports#IntGW-01/metrics/network-outgoing-packets-rate
211,0.0012929811,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/statistics/tx-kbps
899,0.0012829853,v_/ports#link-tr-intgw-b-2-y/metrics/network-incoming-bytes
48,0.0012823248,p_/computes0/metrics/hardware-disk#_dev_nvme0n1p2/hardware-disk-size-used
25,0.0012811329,p_/computes0/metrics/compute-node/compute-node-cpu-percent
916,0.0012656506,v_/ports#link-tr-intgw-b-3-x/metrics/network-incoming-packets-rate
398,0.0012624828,n_/devices/modules/Cisco-IOS-XE-platform-software-oper/cisco-platform-software/control-processes/control-process/per-core-stats/per-core-stat/sirq
762,0.0012525256,v_/ports#link-intgw-exgw-b-3-x/metrics/network-outgoing-bytes-rate
643,0.0012512245,v_/ports#IntGW-01/metrics/network-outgoing-packets
748,0.0012304552,v_/ports#link-intgw-exgw-b-2-x/metrics/network-incoming-packets-rate
832,0.0012076652,v_/ports#link-tr-intgw-a-2-y/metrics/network-incoming-packets-rate
767,0.0011830417,v_/ports#link-intgw-ip-a-1-x/metrics/network-incoming-bytes
130,0.0011823863,p_/computes0/metrics/hardware-ipmi-temperature#22-pci_2_(0x18)/hardware-ipmi-temperature
815,0.0011722213,v_/ports#link-tr-intgw-a-2-x/metrics/network-incoming-bytes
808,0.0011682619,v_/ports#link-tr-intgw-a-1-y/metrics/network-incoming-packets-rate
852,0.001157721,v_/ports#link-tr-intgw-a-3-y/metrics/network-incoming-bytes-rate
976,0.001155575,v_/ports#link-tr-tr-a-1-x/metrics/network-incoming-packets-rate
637,0.0011434834,v_/ports#IntGW-01/metrics/network-incoming-packets
685,0.0011390175,v_/ports#TR-02/metrics/network-incoming-packets
731,0.0011382928,v_/ports#link-intgw-exgw-b-1-x/metrics/network-incoming-bytes
66,0.0011328367,p_/computes0/metrics/hardware-disk#nvme0n1p2/hardware-disk-write-requests
804,0.0011255759,v_/ports#link-tr-intgw-a-1-y/metrics/network-incoming-bytes-rate
592,0.0011242823,v_/devices#TR-02/metrics/disk-device-write-bytes-rate
730,0.0011234113,v_/ports#link-intgw-exgw-a-3-x/metrics/network-outgoing-packets-rate
40,0.0011092104,p_/computes0/metrics/hardware/hardware-network-ip-incoming-datagrams
313,0.0011068111,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/bgp-neighbor-counters/sent/updates
215,0.0010906254,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/v4-protocol-stats/in-pkts
447,0.0010876065,v_/devices#IntGW-01/metrics/disk-write-bytes-rate
835,0.0010841715,v_/ports#link-tr-intgw-a-2-y/metrics/network-outgoing-packets
876,0.0010838276,v_/ports#link-tr-intgw-b-1-y/metrics/network-incoming-bytes-rate
